Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2
22573.774356292,29.8125,30.375,32.75,64.7,4.1248000000000005,4.1392,4.0848,0.84,-44.7575,-44.535,-45.28,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.28553652686357067,0.2880260355123175,0.2807957011506974,171.6138,171.6138,171.6138,4.078364160828459,4.08924678790574,4.048111161842787
22574.784369142,29.8125,30.375,32.75,64.2,4.126399999999999,4.1392,4.086399999999999,0.84,-44.755,-44.5275,-45.275,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.28581172625749973,0.288300277153451,0.2810708237239694,171.6138,171.6138,171.6138,4.078790201100438,4.089212051078156,4.047821597396293
22575.794381225,29.8125,30.375,32.75,64.2,4.1248000000000005,4.1408000000000005,4.088,0.84,-44.755,-44.5325,-45.275,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2860868685155356,0.28857497666952003,0.2813463986111495,171.6138,171.6138,171.6138,4.079096879290586,4.089492878441539,4.047910213401365
22576.804391169,29.8125,30.375,32.8125,64.7,4.126399999999999,4.1408000000000005,4.086399999999999,0.84,-44.75,-44.5325,-45.27,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2863614449590945,0.2888504642622377,0.28162196368639336,171.6138,171.6138,171.6138,4.0790541108633365,4.0903127742338485,4.047964251616972
22577.821510416,29.8125,30.375,32.75,63.7,4.1248000000000005,4.1408000000000005,4.088,0.84,-44.7575,-44.53,-45.2725,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2866377513179356,0.289126991829534,0.2818990515931913,171.6138,171.6138,171.6138,4.078961341752162,4.090580169095011,4.04797671161119
22578.831517435,29.8125,30.375,32.75,64.7,4.126399999999999,4.1392,4.088,0.84,-44.75,-44.54,-45.2725,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.28718817653169837,0.28967687900328526,0.28245118856113693,171.6138,171.6138,171.6138,4.079216787830564,4.090734806669432,4.048600365866631
22579.841526224,29.8125,30.375,32.75,64.2,4.1248000000000005,4.1408000000000005,4.086399999999999,0.84,-44.755,-44.53,-45.27,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.287462903076391,0.28995193832017707,0.28272653854801555,171.6138,171.6138,171.6138,4.079145588284859,4.090955884593345,4.048506566323013
22580.851535541,29.8125,30.4375,32.8125,63.7,4.1248000000000005,4.1408000000000005,4.088,0.84,-44.7525,-44.5325,-45.2775,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2877377092000117,0.29022693858987303,0.2830022883417525,171.6138,171.6138,171.6138,4.0790873203037386,4.091128978216513,4.048751108056912
22581.861546368,29.8125,30.375,32.8125,63.3,4.126399999999999,4.1408000000000005,4.088,0.84,-44.755,-44.5375,-45.2775,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2880129399212541,0.29050196193571837,0.2832780240452227,171.6138,171.6138,171.6138,4.079354566740642,4.091262701268944,4.0489336085367365
22582.871558186,29.8125,30.375,32.75,64.7,4.128,4.1408000000000005,4.089600000000001,0.84,-44.75,-44.5325,-45.2725,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2882885587527903,0.29077704054751646,0.2835541156872396,171.6138,171.6138,171.6138,4.079858965834151,4.091357497747522,4.049375356451778
22583.881564718,29.8125,30.375,32.8125,64.2,4.126399999999999,4.1408000000000005,4.088,0.84,-44.755,-44.53,-45.27,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2885636666847402,0.2910521252234337,0.28382968545543,171.6138,171.6138,171.6138,4.079948283985672,4.091432706399446,4.049410261671745
22584.891567,29.8125,30.4375,32.8125,64.2,4.126399999999999,4.142399999999999,4.089600000000001,0.84,-44.7525,-44.5225,-45.2725,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2888388238239777,0.2913276488525416,0.2841056320075435,171.6138,171.6138,171.6138,4.080011893107003,4.091791798728005,4.0497480842664775
22585.901573645,29.8125,30.375,32.875,64.7,4.126399999999999,4.1408000000000005,4.088,0.84,-44.76,-44.535,-45.28,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2891139873865847,0.2916026853817566,0.2843811231796766,171.6138,171.6138,171.6138,4.080070895082717,4.091778524337917,4.0497067856818205
22586.911574318,29.8125,30.375,32.875,65.7,4.128,4.142399999999999,4.089600000000001,0.84,-44.75,-44.525,-45.275,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2893898057864724,0.2918784549400647,0.28465725076513004,171.6138,171.6138,171.6138,4.080401934259012,4.092049496997281,4.049966819619005
22587.932390818,29.8125,30.375,32.875,64.2,4.1296,4.142399999999999,4.089600000000001,0.84,-44.7525,-44.52,-45.2775,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2896667383267188,0.29215537111009005,0.28493412102521076,171.6138,171.6138,171.6138,4.0806257713084735,4.092217553268785,4.049825608036652
22588.942396937,29.8125,30.4375,32.875,65.7,4.128,4.1408000000000005,4.089600000000001,0.84,-44.7525,-44.5275,-45.28,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2899427371151973,0.2924309390917129,0.28520962642099523,171.6138,171.6138,171.6138,4.0811387156867704,4.092395601490624,4.049762131870959
22589.952440529,29.8125,30.375,32.75,64.7,4.128,4.142399999999999,4.089600000000001,0.84,-44.755,-44.5275,-45.2775,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2902182066265017,0.2927069296695885,0.2854855520140834,171.6138,171.6138,171.6138,4.08122795190261,4.092849769939948,4.050021713846631
22590.962444001,29.8125,30.4375,32.8125,65.2,4.128,4.1408000000000005,4.089600000000001,0.84,-44.765,-44.5325,-45.275,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.29049371801302903,0.29298210382606327,0.2857614309923096,171.6138,171.6138,171.6138,4.08130644086667,4.092570242727863,4.050228422796403
22591.972445427,29.8125,30.3125,32.75,64.7,4.1312,4.144,4.089600000000001,0.84,-44.76,-44.53,-45.28,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2907693565560113,0.29325777827443933,0.2860373247142903,171.6138,171.6138,171.6138,4.081342513517594,4.092676445728092,4.050373132244007
22592.982449697,29.8125,30.4375,32.8125,64.7,4.1296,4.142399999999999,4.089600000000001,0.84,-44.75,-44.53,-45.2725,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2910449441171579,0.29353353229856205,0.28631314081729264,171.6138,171.6138,171.6138,4.081396685183245,4.092752609560204,4.050493297673323
22593.992451274,29.8125,30.375,32.875,65.2,4.128,4.1456,4.089600000000001,0.84,-44.755,-44.525,-45.275,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.29132108093364645,0.2938093271708162,0.28658894637184995,171.6138,171.6138,171.6138,4.081728117160106,4.092822821626776,4.0505933868852395
22595.002458768,29.8125,30.4375,32.8125,65.2,4.1296,4.142399999999999,4.0928,0.84,-44.755,-44.53,-45.2775,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.2915967535390998,0.29408481842692236,0.2868647954548954,171.6138,171.6138,171.6138,4.081678337310954,4.0925620666601805,4.050669907523812
22596.012466012,29.8125,30.375,32.9375,65.2,4.128,4.144,4.088,0.84,-44.755,-44.5225,-45.2725,0,0,0,0,0,0,120,120,120,120,120,120,4.900000000000003,7.9,5.900000000000005,200,200,200,0.29187248368090335,0.2943608706091639,0.28714108039694153,171.6138,171.6138,171.6138,4.081636969781616,4.092671909590746,4.051026892153352
