time,v0,v1,v2,c0,c1,c2,t0,t1,t2
22000.0,4.01953125,4.03515625,3.9921875,-44.71875,-44.53125,-45.25,28.75,29.0625,31.6875
22000.0,4.01953125,4.03515625,3.990234375,-44.71875,-44.53125,-45.25,28.75,29.125,31.625
22000.0,4.01953125,4.03515625,3.9921875,-44.71875,-44.53125,-45.25,28.75,29.125,31.6875
22000.0,4.01953125,4.03515625,3.9921875,-44.71875,-44.53125,-45.25,28.8125,29.25,31.625
22016.0,4.01953125,4.0390625,3.9921875,-44.71875,-44.53125,-45.25,28.8125,29.125,31.6875
22016.0,4.01953125,4.03515625,3.9921875,-44.71875,-44.53125,-45.25,28.8125,29.1875,31.625
22016.0,4.01953125,4.03515625,3.9921875,-44.71875,-44.53125,-45.25,28.8125,29.1875,31.6875
22016.0,4.01953125,4.03515625,3.994140625,-44.71875,-44.53125,-45.25,28.8125,29.1875,31.5625
22016.0,4.01953125,4.03515625,3.994140625,-44.71875,-44.53125,-45.25,28.8125,29.25,31.6875
22016.0,4.01953125,4.03515625,3.994140625,-44.71875,-44.53125,-45.25,28.8125,29.1875,31.6875
22016.0,4.01953125,4.03515625,3.9921875,-44.71875,-44.53125,-45.25,28.8125,29.1875,31.6875
22016.0,4.0234375,4.03515625,3.994140625,-44.71875,-44.53125,-45.25,28.8125,29.1875,31.75
22016.0,4.01953125,4.03515625,3.994140625,-44.71875,-44.53125,-45.25,28.8125,29.1875,31.75
22016.0,4.01953125,4.03515625,3.994140625,-44.71875,-44.53125,-45.25,28.8125,29.25,31.625
22016.0,4.01953125,4.0390625,3.9921875,-44.71875,-44.53125,-45.25,28.8125,29.25,31.75
22016.0,4.01953125,4.03515625,3.994140625,-44.71875,-44.53125,-45.25,28.8125,29.25,31.625
22016.0,4.0234375,4.0390625,3.99609375,-44.71875,-44.53125,-45.25,28.875,29.25,31.6875
22016.0,4.0234375,4.0390625,3.994140625,-44.71875,-44.53125,-45.25,28.875,29.25,31.625
22016.0,4.0234375,4.0390625,3.9921875,-44.71875,-44.53125,-45.25,28.875,29.25,31.75
22016.0,4.0234375,4.03515625,3.994140625,-44.71875,-44.53125,-45.25,28.875,29.3125,31.6875
22032.0,4.01953125,4.0390625,3.99609375,-44.71875,-44.53125,-45.25,28.875,29.25,31.75
22032.0,4.01953125,4.0390625,3.99609375,-44.71875,-44.53125,-45.25,28.875,29.3125,31.875
22032.0,4.0234375,4.03515625,3.994140625,-44.71875,-44.53125,-45.25,28.875,29.3125,31.75
22032.0,4.01953125,4.0390625,3.994140625,-44.71875,-44.53125,-45.25,28.875,29.3125,31.6875
22032.0,4.0234375,4.0390625,3.994140625,-44.71875,-44.53125,-45.25,28.875,29.3125,31.8125
22032.0,4.0234375,4.0390625,3.994140625,-44.71875,-44.53125,-45.25,28.9375,29.375,31.8125
22032.0,4.0234375,4.0390625,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.75
22032.0,4.0234375,4.04296875,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.8125
22032.0,4.0234375,4.0390625,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.75
22032.0,4.0234375,4.04296875,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.75
22032.0,4.0234375,4.0390625,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.8125
22032.0,4.0234375,4.04296875,3.994140625,-44.71875,-44.53125,-45.25,28.9375,29.375,31.875
22032.0,4.02734375,4.0390625,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.8125
22032.0,4.02734375,4.04296875,3.99609375,-44.71875,-44.53125,-45.25,28.9375,29.3125,31.75
21824.0,3.970703125,3.986328125,3.943359375,-44.71875,-44.53125,-45.25,27.1875,27.5,30.4375
21824.0,3.97265625,3.9921875,3.9453125,-44.71875,-44.53125,-45.25,27.125,27.5,30.4375
21824.0,3.974609375,3.994140625,3.9453125,-44.71875,-44.53125,-45.25,27.25,27.5,30.4375
21824.0,3.974609375,3.9921875,3.9453125,-44.71875,-44.5625,-45.25,27.3125,27.5,30.4375
