Time (s),Voltage (V),Current (A)
232.93773038599988,5.0467,0.692266
233.58827487400004,5.0467,0.671487
234.2353064419999,5.0466,0.673077
234.885421275,5.0465,0.670223
235.52945878800006,5.0468,0.669096
236.17397022,5.0468,"0.64916
"
236.84129373099995,5.0466,0.654635
237.47246168599986,5.0465,0.747876
238.13476712600004,5.0467,0.666059
238.7788838439999,5.0467,0.750296
239.42396907800003,5.0468,"0.67028
"
240.06822173199998,5.0470,0.671158
240.70972476899988,5.0469,0.685701
241.37439682499985,5.0467,0.664582
241.9983775139999,5.0465,0.668932
242.6617404609999,5.0465,0.656315
243.46460227900002,5.0468,0.669296
244.089914248,5.0467,0.766057
244.75807769099993,5.0467,0.660667
245.38731252999992,5.0466,0.690642
246.05835355199997,5.0464,0.670182
246.68439839500002,5.0466,0.653424
247.34389136100003,5.0468,0.727179
247.999734215,5.0467,0.669839
248.63443034600004,5.0468,0.755914
249.2776143819999,5.0467,0.669218
249.91722356900004,5.0468,"0.67032
"
250.58662472800006,5.0468,0.698418
251.214438405,5.0466,0.671707
251.874458967,5.0467,0.740396
252.51839056199992,5.0466,0.664965
253.1636953719999,5.0466,0.666373
253.82928843299987,5.0468,0.659275
254.47325012400006,5.0468,0.651881
255.11326664299986,5.0468,0.764018
255.78400875400007,5.0465,0.672173
256.4091869639999,5.0465,0.770242
257.07870283400007,5.0467,0.669541
257.70507560400006,5.0466,0.672527
258.37674142900005,5.0467,0.752008
259.00350597600004,5.0469,0.653316
259.6632273779999,5.0465,0.748842
260.30930717699994,5.0465,0.668876
260.9585436289999,5.0467,0.663575
261.6036913109999,5.0469,0.781576
262.25387090999993,5.0468,0.670268
262.89771339000004,5.0467,"0.76074
"
264.54936610799996,5.0467,0.669008
265.193036439,5.0466,"0.66171
"
265.83704474499996,5.0467,0.651922
266.489374127,5.0467,0.671956
267.158141335,5.0467,0.761865
267.78192091100004,5.0465,"0.66974
"
268.44128663800007,5.0465,0.670743
269.08916155399993,5.0465,0.670515
269.733791267,5.0465,0.670795
270.378041853,5.0466,0.741833
271.02372877900007,5.0465,0.661299
271.66860802299993,5.0466,0.753212
272.313133869,5.0468,0.661949
272.95870729299986,5.0468,0.748022
273.6039689879999,5.0466,0.695865
274.2700874919999,5.0468,0.670901
274.89849508999987,5.0466,0.760509
275.56826077799997,5.0465,0.669013
276.19254111600003,5.0467,0.794403
276.86867286999995,5.0468,0.651854
277.50440577799986,5.0468,0.652885
278.153567047,5.0467,0.748567
278.79818271,5.0466,0.669955
279.4473907459999,5.0466,0.666305
280.0932367529999,5.0468,0.658776
280.732702881,5.0470,0.673376
281.3789747809999,5.0467,0.686076
282.02288124300003,5.0465,0.660295
282.698126904,5.0467,0.668242
283.32256461299994,5.0465,0.671239
283.988852922,5.0469,0.656351
284.61773179700003,5.0469,0.653078
285.2734533329999,5.0466,"0.65303
"
285.916691269,5.0467,0.748557
286.56258672900003,5.0465,0.671287
287.23344338800007,5.0465,0.670599
287.857475024,5.0467,0.672964
288.52342090799993,5.0465,0.672239
289.1476465559999,5.0466,0.764942
289.8173980659999,5.0467,0.662735
290.44198944899995,5.0466,0.712514
291.1028320989999,5.0464,0.662335
291.74754693,5.0465,0.654507
292.3880470009999,5.0467,0.761873
293.0530808599999,5.0467,0.670366
293.69814116199996,5.0464,0.692467
294.342034605,5.0464,0.671184
294.9903036420001,5.0465,0.671387
295.63287276999995,5.0468,0.670547
296.29787989600004,5.0469,0.652808
296.92274829200005,5.0466,0.742166
297.58448312899986,5.0464,0.670618
298.23232334,5.0464,"0.6657
"
298.876035196,5.0468,"0.65889
"
299.542607094,5.0468,0.671938
300.194451736,5.0467,0.766663
300.83246873100006,5.0464,0.662556
301.4972823410001,5.0463,0.668922
302.123859778,5.0462,0.673003
302.78522593799994,5.0465,0.655489
303.433105138,5.0468,0.739508
304.0827876189999,5.0466,0.672324
304.726741855,5.0466,0.787992
305.377994533,5.0465,0.670107
306.0426102019999,5.0466,0.673162
306.66742814300005,5.0469,0.722754
307.3421013929999,5.0467,"0.67142
"
307.96847958299986,5.0466,0.746415
308.6327051779999,5.0465,0.665002
309.25761832199987,5.0467,0.714997
309.92714568099996,5.0467,0.660532
310.5537916829999,5.0469,0.653752
311.220974543,5.0467,0.742482
311.846010856,5.0466,0.674233
312.52190083899995,5.0465,0.763433
313.1468951689999,5.0465,0.672912
313.80718437899986,5.0466,0.672871
314.45209938900007,5.0467,0.765786
315.09186976699993,5.0468,0.653893
315.74175241700004,5.0466,0.752197
